factor,family,horizon,n,coverage,ic,rankic,q5_q1_ret_diff_pct,q5_q1_up_diff_pp,first_half_rankic,second_half_rankic,stable_halves,status,cross_symbol_consistency,max_corr_active,closest_active_factor,orthogonality_score,decision_hint
gap_ret_5d,behavior,5,3165,99.5,-0.0603,-0.0028,0.06,-0.16,-0.0429,0.0073,False,candidate,66.7,0.728,gap_ret_10d,0.272,REJECT
gap_ret_5d,behavior,10,3140,99.5,-0.0603,-0.0185,-0.93,-6.85,-0.0417,-0.0288,True,candidate,60.0,0.728,gap_ret_10d,0.272,REJECT
gap_ret_5d,behavior,30,3040,99.5,-0.0162,-0.0094,-0.35,-2.14,-0.0858,0.0377,False,candidate,66.7,0.728,gap_ret_10d,0.272,REJECT
gap_ret_20d,behavior,5,3130,98.4,-0.0553,-0.0535,-0.86,-5.75,-0.0632,-0.0764,True,candidate,75.0,0.7222,gap_ret_10d,0.2778,PROMOTE_TO_TRIAL
gap_ret_20d,behavior,10,3105,98.4,-0.0332,-0.0712,-1.24,-10.47,-0.1045,-0.0727,True,candidate,100.0,0.7222,gap_ret_10d,0.2778,PROMOTE_TO_TRIAL
gap_ret_20d,behavior,30,3005,98.4,-0.0008,-0.0169,-0.94,0.5,-0.1854,0.1467,False,candidate,60.0,0.7222,gap_ret_10d,0.2778,REJECT
amihud_10d,behavior,5,3155,99.2,0.0477,-0.0006,0.68,0.48,0.0185,0.0496,False,candidate,60.0,0.9352,amihud_20d,0.0648,REJECT
amihud_10d,behavior,10,3130,99.2,0.0668,0.0026,1.25,-0.64,0.0075,0.0798,False,candidate,40.0,0.9352,amihud_20d,0.0648,REJECT
amihud_10d,behavior,30,3030,99.2,0.0835,-0.0005,1.83,0.83,0.0225,0.0506,True,candidate,25.0,0.9352,amihud_20d,0.0648,REJECT
amihud_30d,behavior,5,3105,97.7,0.0356,-0.0128,0.0,-3.06,0.0175,0.0249,False,candidate,66.7,0.9725,amihud_20d,0.0275,REJECT_DUPLICATE
amihud_30d,behavior,10,3080,97.7,0.049,-0.0168,0.02,-6.66,0.0026,0.0417,False,candidate,50.0,0.9725,amihud_20d,0.0275,REJECT_DUPLICATE
amihud_30d,behavior,30,2980,97.7,0.0534,-0.0026,2.75,5.03,0.0305,0.034,True,candidate,20.0,0.9725,amihud_20d,0.0275,REJECT
price_position_z20,behavior,5,3040,95.6,-0.0159,-0.0069,-0.1,1.64,-0.0019,-0.0204,False,candidate,66.7,0.6476,price_position,0.3524,REJECT
price_position_z20,behavior,10,3015,95.6,-0.0548,-0.0461,-1.11,-4.81,-0.0274,-0.0651,True,candidate,80.0,0.6476,price_position,0.3524,PROMOTE_TO_TRIAL
price_position_z20,behavior,30,2915,95.6,-0.0351,-0.0454,-1.94,-9.78,0.049,-0.1452,False,candidate,100.0,0.6476,price_position,0.3524,WATCH
mfdfa_x_roc10,fractal,5,2285,72.1,-0.0136,0.0088,0.39,-0.66,-0.0456,0.0554,False,candidate,75.0,0.7181,mfdfa_x_roc20,0.2819,REJECT
mfdfa_x_roc10,fractal,10,2260,72.1,-0.0033,0.0122,0.34,2.21,0.0185,-0.0064,False,candidate,60.0,0.7181,mfdfa_x_roc20,0.2819,REJECT
mfdfa_x_roc10,fractal,30,2160,72.1,-0.007,0.0061,-0.14,2.55,0.025,-0.0166,False,candidate,40.0,0.7181,mfdfa_x_roc20,0.2819,REJECT
high52w_x_vol_surge,trend,5,2560,80.7,-0.0288,-0.0403,-0.3,-6.45,-0.0612,-0.0351,True,candidate,100.0,0.8662,high52w_pos,0.1338,PROMOTE_TO_TRIAL
high52w_x_vol_surge,trend,10,2535,80.7,-0.0353,-0.0515,-0.58,-7.89,-0.0471,-0.0644,True,candidate,100.0,0.8662,high52w_pos,0.1338,PROMOTE_TO_TRIAL
high52w_x_vol_surge,trend,30,2435,80.7,-0.0408,-0.0514,-0.29,-3.29,-0.0665,-0.0493,True,candidate,100.0,0.8662,high52w_pos,0.1338,PROMOTE_TO_TRIAL
intraday_ret_5d,behavior,5,3170,99.7,0.0009,-0.0133,0.36,0.63,-0.0217,-0.0135,False,watch,100.0,0.8462,ROC5,0.1538,REJECT
intraday_ret_5d,behavior,10,3145,99.7,-0.0094,-0.0247,0.21,0.32,-0.0151,-0.038,False,watch,100.0,0.8462,ROC5,0.1538,WATCH
intraday_ret_5d,behavior,30,3045,99.7,0.0342,-0.0037,2.11,1.31,0.0382,-0.0561,False,watch,50.0,0.8462,ROC5,0.1538,REJECT
policy_beta_proxy,macro,5,3085,97.0,0.0168,0.0019,0.63,1.94,0.0262,-0.0528,False,candidate,25.0,0.9144,price_position,0.0856,REJECT
policy_beta_proxy,macro,10,3060,97.0,0.0122,-0.0071,0.8,-0.49,0.0417,-0.0848,False,candidate,60.0,0.9144,price_position,0.0856,REJECT
policy_beta_proxy,macro,30,2960,97.0,0.0824,0.0584,3.96,5.74,0.0855,0.0093,False,candidate,60.0,0.9144,price_position,0.0856,WATCH
liquidity_stress_proxy,macro,5,3130,98.4,-0.0433,0.0016,0.43,3.83,-0.0004,-0.0273,False,candidate,40.0,0.6945,gap_ret_10d,0.3055,REJECT
liquidity_stress_proxy,macro,10,3105,98.4,-0.0065,-0.053,-0.81,-8.05,-0.0763,-0.048,True,candidate,75.0,0.6945,gap_ret_10d,0.3055,PROMOTE_TO_TRIAL
liquidity_stress_proxy,macro,30,3005,98.4,0.0406,-0.0353,-0.79,-4.33,-0.1455,0.0804,False,candidate,100.0,0.6945,gap_ret_10d,0.3055,WATCH
ai_mfg_heat_proxy,industry,5,3080,96.9,-0.012,-0.0192,0.1,-4.87,0.0074,-0.0652,False,candidate,75.0,0.9471,ROC20,0.0529,REJECT_DUPLICATE
ai_mfg_heat_proxy,industry,10,3055,96.9,0.0305,-0.0209,0.53,-4.26,0.027,-0.091,False,candidate,75.0,0.9471,ROC20,0.0529,REJECT_DUPLICATE
ai_mfg_heat_proxy,industry,30,2955,96.9,0.0912,0.0779,5.0,9.31,0.0404,0.1002,True,candidate,60.0,0.9471,ROC20,0.0529,PROMOTE_TO_TRIAL
ai_mfg_leader_proxy,industry,5,2560,80.7,-0.0061,-0.0142,0.69,-0.78,-0.0071,-0.0247,False,candidate,75.0,0.9343,ROC20,0.0657,REJECT_DUPLICATE
ai_mfg_leader_proxy,industry,10,2535,80.7,0.0257,-0.017,1.17,-1.97,0.011,-0.0423,False,candidate,80.0,0.9343,ROC20,0.0657,REJECT_DUPLICATE
ai_mfg_leader_proxy,industry,30,2435,80.7,0.068,0.0837,3.71,10.68,0.0038,0.1535,False,candidate,50.0,0.9343,ROC20,0.0657,WATCH
earnings_accel_proxy,industry,5,3180,100.0,-0.035,-0.0742,-1.09,-5.96,-0.0394,-0.0982,True,candidate,100.0,0.5727,rev_growth_accel,0.4273,PROMOTE_TO_TRIAL
earnings_accel_proxy,industry,10,3155,100.0,-0.0564,-0.1095,-2.23,-9.05,-0.0597,-0.1512,True,candidate,100.0,0.5727,rev_growth_accel,0.4273,PROMOTE_TO_TRIAL
earnings_accel_proxy,industry,30,3055,100.0,-0.0589,-0.1626,-9.21,-18.83,-0.0585,-0.2893,True,candidate,100.0,0.5727,rev_growth_accel,0.4273,PROMOTE_TO_TRIAL
quality_flow_proxy,industry,5,3085,97.0,-0.0081,-0.0093,-0.31,-0.32,0.0458,-0.0988,False,watch,50.0,0.9517,cash_flow_ps,0.0483,REJECT
quality_flow_proxy,industry,10,3060,97.0,-0.0273,-0.0192,-0.81,-1.31,0.0686,-0.1478,False,watch,40.0,0.9517,cash_flow_ps,0.0483,REJECT_DUPLICATE
quality_flow_proxy,industry,30,2960,97.0,-0.0922,-0.0715,-5.02,-3.21,0.0148,-0.1992,False,watch,100.0,0.9517,cash_flow_ps,0.0483,WATCH
mfdfa_x_vol_surge,industry,5,2285,72.1,-0.0457,-0.045,-1.05,-3.28,-0.1203,0.0532,False,watch,100.0,0.3284,hq2_120d,0.6716,WATCH
mfdfa_x_vol_surge,industry,10,2260,72.1,-0.0547,-0.0484,-1.48,-7.08,-0.1344,0.0713,False,watch,100.0,0.3284,hq2_120d,0.6716,WATCH
mfdfa_x_vol_surge,industry,30,2160,72.1,-0.0058,-0.0433,0.72,-8.56,-0.1311,0.1013,False,watch,60.0,0.3284,hq2_120d,0.6716,WATCH
roc15,trend,5,3105,97.7,-0.0235,-0.0264,-0.42,-6.12,-0.0092,-0.063,False,watch,100.0,0.8579,ROC20,0.1421,REJECT_DUPLICATE
roc15,trend,10,3080,97.7,0.0024,-0.024,-0.04,-6.98,0.0298,-0.0958,False,watch,75.0,0.8579,ROC20,0.1421,REJECT_DUPLICATE
roc15,trend,30,2980,97.7,0.0784,0.0651,4.5,7.38,0.069,0.0457,True,watch,60.0,0.8579,ROC20,0.1421,PROMOTE_TO_TRIAL
roc60,trend,5,2880,90.6,0.0175,-0.0108,-0.45,-5.21,-0.0616,0.0356,False,watch,100.0,0.6484,high52w_pos,0.3516,REJECT
roc60,trend,10,2855,90.6,0.0147,-0.0358,-0.92,-10.86,-0.1054,0.0354,False,watch,100.0,0.6484,high52w_pos,0.3516,WATCH
roc60,trend,30,2755,90.6,-0.0049,-0.091,-2.36,-9.62,-0.2642,0.0827,False,watch,100.0,0.6484,high52w_pos,0.3516,WATCH
price_position_z60,other,5,2940,92.5,-0.0083,-0.0202,-0.14,-3.4,0.0205,-0.0742,False,watch,75.0,0.8556,price_position,0.1444,REJECT_DUPLICATE
price_position_z60,other,10,2915,92.5,-0.0345,-0.0379,-0.88,-4.12,0.0332,-0.1245,False,watch,75.0,0.8556,price_position,0.1444,REJECT_DUPLICATE
price_position_z60,other,30,2815,92.5,0.0465,0.0511,1.79,2.49,0.1795,-0.0961,False,watch,60.0,0.8556,price_position,0.1444,WATCH
price_position_z30,behavior,5,3015,94.9,-0.0181,-0.0292,-0.38,-2.32,-0.0189,-0.0429,False,watch,80.0,0.7426,price_position,0.2574,WATCH
price_position_z30,behavior,10,2990,94.9,-0.0618,-0.0661,-1.66,-8.86,-0.0318,-0.1006,True,watch,80.0,0.7426,price_position,0.2574,PROMOTE_TO_TRIAL
price_position_z30,behavior,30,2890,94.9,-0.0368,-0.0364,-2.49,-9.69,0.0554,-0.1331,False,watch,75.0,0.7426,price_position,0.2574,WATCH
roc30,trend,5,3030,95.3,0.0107,-0.0163,-0.06,-6.77,-0.0121,-0.037,False,watch,66.7,0.8263,ROC20,0.1737,REJECT
roc30,trend,10,3005,95.3,0.0368,0.0006,0.32,-4.66,0.0195,-0.0361,False,watch,50.0,0.8263,ROC20,0.1737,REJECT
roc30,trend,30,2905,95.3,0.104,0.0742,5.37,10.15,-0.0105,0.1578,False,watch,60.0,0.8263,ROC20,0.1737,WATCH
